Раздел 1,Раздел 2,Бренд,Наименование товара,Картинка анонса,Подробная картинка,Галерея,Видео RU,Видео EN,Описание анонса,Подробное описание,Толщина,Ширина,Длина,Класс,Фаска,Площадь одной плашки,Кол-во плашек в пачке,Площадь в пачке,Класс эмиссии (экологичности),Замки,Видео,Цена,Тип карточки,Единица изменения,Раздел 3,M2 в пачке,Материал,Высота,Деформационный шов,,Длина 1 Шт,Покрытие,Оттенок,Высота полотна,Ширина полотна,Лакобель,Цвет Лакобели,Сатинато,Зеркало Люкс,Класс,Конструкция
ZADOOR,Classic Baguette,ZADOOR,Венеция ПГ В5.3 Белый матовый,,/img/zadoor/classic-baguette/венеция-пг-в5.3/Baguette Classic_ПГ_Венеция_B5.3_белый_матовый.jpg,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Венеция ПГ В5.3,,,,,,,Полипропилен Renolit,Белый матовый,1900-2300 мм,900-600 мм,нет,нет,нет,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Венеция ПО сатинато с рамкой Белый матовый,,/img/zadoor/classic-baguette/венеция-по-в3-сатинато-с-рамкой/Baguette Classic_ПО_Венеция_B3_сатинато_с_рамкой_белый_матовый.jpg,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Венеция ПО сатинато с рамкой,,,,,,,Полипропилен Renolit,Белый матовый,1900-2300 мм,900-600 мм,нет,нет,да,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Венеция ПО сатинато с рамкой Серый матовый,,/img/zadoor/classic-baguette/венеция-по-в3-сатинато-с-рамкой/Baguette Classic_ПО_Венеция_B3_сатинато_с_рамкой_серый_матовый.jpg,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Венеция ПО сатинато с рамкой,,,,,,,Полипропилен Renolit,Серый матовый,1900-2300 мм,900-600 мм,нет,нет,да,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Венеция ПО B5.3 Белый матовый,,/img/zadoor/classic-baguette/венеция-по-в5.3/Baguette Classic_ПО_Венеция_B5.3_сатинато_с_рамкой_белый_матовый.jpg,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Венеция ПО B5.3,,,,,,,Полипропилен Renolit,Белый матовый,1900-2300 мм,900-600 мм,нет,нет,нет,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Неаполь ПГ В3 Белый матовый,,/img/zadoor/classic-baguette/неаполь-пг-в3/ПГ_Неаполь_В3_белый.jpg,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Неаполь ПГ В3,,,,,,,Полипропилен Renolit,Белый матовый,1900-2300 мм,900-600 мм,нет,нет,нет,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Неаполь ПГ В3 Серый матовый,,/img/zadoor/classic-baguette/неаполь-пг-в3/Baguette Classic_ПГ_Неаполь_B3_серый_матовый.jpg.jpg,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Неаполь ПГ В3,,,,,,,Полипропилен Renolit,Серый матовый,1900-2300 мм,900-600 мм,нет,нет,нет,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Неаполь ПО В3 Белый матовый,,/img/zadoor/classic-baguette/неаполь-по-в3/Baguette Classic_ПО_Неаполь_B3_сатинато_с_рамкой_белый_матовый.jpg,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Неаполь ПО В3,,,,,,,Полипропилен Renolit,Белый матовый,1900-2300 мм,900-600 мм,нет,нет,да,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Неаполь ПО В3 Серый матовый,,/img/zadoor/classic-baguette/неаполь-по-в3/Baguette Classic_ПО_Неаполь_B3_сатинато_с_рамкой_серый_матовый.jpg,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Неаполь ПО В3,,,,,,,Полипропилен Renolit,Серый матовый,1900-2300 мм,900-600 мм,нет,нет,да,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Турин ПГ В4 Матовый кремовый,,/img/zadoor/classic-baguette/турин-пг-в4/Турин ПГ В4 матовый кремовый.jpg,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Турин ПГ В4,,,,,,,Полипропилен Renolit,Матовый кремовый,1900-2300 мм,900-600 мм,нет,нет,нет,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Турин ПГ В4 Белый матовый,,/img/zadoor/classic-baguette/турин-пг-в4/ПГ_Турин_В4_белый.jpg,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Турин ПГ В4,,,,,,,Полипропилен Renolit,Белый матовый,1900-2300 мм,900-600 мм,нет,нет,нет,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Турин ПГ В4 Серый матовый,,/img/zadoor/classic-baguette/турин-пг-в4/ПГ Турин В4 Серый матовый.jpg,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Турин ПГ В4,,,,,,,Полипропилен Renolit,Серый матовый,1900-2300 мм,900-600 мм,нет,нет,нет,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Турин ПО В4 Белый матовый,,/img/zadoor/classic-baguette/турин-пг-в4/Турин ПО B4 Сатинато.jpg,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Турин ПО В4,,,,,,,Полипропилен Renolit,Белый матовый,1900-2300 мм,900-600 мм,нет,нет,да,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Неаполь ПО Английская классика 2 Белый матовый,,,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Неаполь ПО Английская классика 2,,,,,,,Полипропилен Renolit,Белый матовый,1900-2300 мм,900-600 мм,нет,нет,да,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Неаполь ПО Английская классика Белый матовый,,,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Неаполь ПО Английская классика,,,,,,,Полипропилен Renolit,Белый матовый,1900-2300 мм,900-600 мм,нет,нет,да,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Неаполь ПО Английская классика Серый матовый,,,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Неаполь ПО Английская классика,,,,,,,Полипропилен Renolit,Серый матовый,1900-2300 мм,900-600 мм,нет,нет,да,нет,Средний,Сборно-разборная
ZADOOR,Classic Baguette,ZADOOR,Неаполь ПО Английская классика Кремовый матовый,,,,,,,"Багет – это декоративная рамка дверей. Она завершает обрамление и придает конструкции благородные черты. Багет, в отличие от штопки, имеет более сложную форму и придает полотну выразительность. Помимо эстетической составляющей дверной багет увеличивает жесткость конструкции.
Дверные полотна, оформленные в этом стиле, чаще всего выполняют в светлых тонах. В качестве покрытия используется однотонный матовый либо древесный полипропилен. Полотна имеют сборно-разборную конструкцию.",35 мм,,,,,,,,,,,300,,,Неаполь ПО Английская классика,,,,,,,Полипропилен Renolit,Кремовый матовый,1900-2300 мм,900-600 мм,нет,нет,да,нет,Средний,Сборно-разборная
ZADOOR,Horizont,ZADOOR,H5 Окаша сильвер,,,,,,,,40 мм,,,,,,,,,,,300,,,H5,,,,,,,Полипропилен Renolit,Окаша сильвер,2300 мм,800 мм,нет,нет,да,нет,Средний,
ZADOOR,Forma,ZADOOR,F1 ПГ Беленный дуб,,/img/zadoor/forma/f1-пг/F1 дуб белёный.jpg,,,,,"Полотна серии FORMA имеют каркасно-сотовую конструкцию, при этом создают полную имитацию сборного полотна.
Благодаря низкой стоимости, данная серия успешно зарекомендовала себя. Возможна комплектация как обычным, так и телескопическим погонажем. В качестве покрытия используются 3D пленки производства Германии. Рельефное покрытие изготавливается по уникальной технологии 3D-Embossing. В качестве декора может использоваться стекло Satinato или декоративный молдинг.
",35 мм,,,,,,,,,,,300,,,F1 ПГ,,,,,,,Финиш-пленка Impress,Беленный дуб,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,Forma,ZADOOR,F1 ПГ Белый,,/img/zadoor/forma/f1-пг/F1 белый.jpg,,,,,"Полотна серии FORMA имеют каркасно-сотовую конструкцию, при этом создают полную имитацию сборного полотна.
Благодаря низкой стоимости, данная серия успешно зарекомендовала себя. Возможна комплектация как обычным, так и телескопическим погонажем. В качестве покрытия используются 3D пленки производства Германии. Рельефное покрытие изготавливается по уникальной технологии 3D-Embossing. В качестве декора может использоваться стекло Satinato или декоративный молдинг.
",35 мм,,,,,,,,,,,300,,,F1 ПГ,,,,,,,Финиш-пленка Impress,Белый,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,Forma,ZADOOR,F1 ПГ Орех,,/img/zadoor/forma/f1-пг/F1 Орех.jpg,,,,,"Полотна серии FORMA имеют каркасно-сотовую конструкцию, при этом создают полную имитацию сборного полотна.
Благодаря низкой стоимости, данная серия успешно зарекомендовала себя. Возможна комплектация как обычным, так и телескопическим погонажем. В качестве покрытия используются 3D пленки производства Германии. Рельефное покрытие изготавливается по уникальной технологии 3D-Embossing. В качестве декора может использоваться стекло Satinato или декоративный молдинг.
",35 мм,,,,,,,,,,,300,,,F1 ПГ,,,,,,,Финиш-пленка Impress,Орех,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,Forma,ZADOOR,F2 ПО Беленный дуб,,/img/zadoor/forma/f2-по/F2 ПО Белёный дуб.jpg,,,,,"Полотна серии FORMA имеют каркасно-сотовую конструкцию, при этом создают полную имитацию сборного полотна.
Благодаря низкой стоимости, данная серия успешно зарекомендовала себя. Возможна комплектация как обычным, так и телескопическим погонажем. В качестве покрытия используются 3D пленки производства Германии. Рельефное покрытие изготавливается по уникальной технологии 3D-Embossing. В качестве декора может использоваться стекло Satinato или декоративный молдинг.
",35 мм,,,,,,,,,,,300,,,F2 ПО,,,,,,,Финиш-пленка Impress,Беленный дуб,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,Forma,ZADOOR,F2 ПО Белый,,/img/zadoor/forma/f2-по/F2 ПО белый.jpg,,,,,"Полотна серии FORMA имеют каркасно-сотовую конструкцию, при этом создают полную имитацию сборного полотна.
Благодаря низкой стоимости, данная серия успешно зарекомендовала себя. Возможна комплектация как обычным, так и телескопическим погонажем. В качестве покрытия используются 3D пленки производства Германии. Рельефное покрытие изготавливается по уникальной технологии 3D-Embossing. В качестве декора может использоваться стекло Satinato или декоративный молдинг.
",35 мм,,,,,,,,,,,300,,,F2 ПО,,,,,,,Финиш-пленка Impress,Белый,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,Forma,ZADOOR,F2 ПО Орех,,/img/zadoor/forma/f2-по/F2 ПО орех.jpg,,,,,"Полотна серии FORMA имеют каркасно-сотовую конструкцию, при этом создают полную имитацию сборного полотна.
Благодаря низкой стоимости, данная серия успешно зарекомендовала себя. Возможна комплектация как обычным, так и телескопическим погонажем. В качестве покрытия используются 3D пленки производства Германии. Рельефное покрытие изготавливается по уникальной технологии 3D-Embossing. В качестве декора может использоваться стекло Satinato или декоративный молдинг.
",35 мм,,,,,,,,,,,300,,,F2 ПО,,,,,,,Финиш-пленка Impress,Орех,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,Forma,ZADOOR,F2 ПО Грей,,/img/zadoor/forma/f2-по/F2 ПО Грей.jpg,,,,,"Полотна серии FORMA имеют каркасно-сотовую конструкцию, при этом создают полную имитацию сборного полотна.
Благодаря низкой стоимости, данная серия успешно зарекомендовала себя. Возможна комплектация как обычным, так и телескопическим погонажем. В качестве покрытия используются 3D пленки производства Германии. Рельефное покрытие изготавливается по уникальной технологии 3D-Embossing. В качестве декора может использоваться стекло Satinato или декоративный молдинг.
",35 мм,,,,,,,,,,,300,,,F2 ПО,,,,,,,Финиш-пленка Impress,Грей,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,Forma,ZADOOR,F4 ПО Беленный дуб,,/img/zadoor/forma/f4-по/F4 ПО Белый-1.jpg,,,,,"Полотна серии FORMA имеют каркасно-сотовую конструкцию, при этом создают полную имитацию сборного полотна.
Благодаря низкой стоимости, данная серия успешно зарекомендовала себя. Возможна комплектация как обычным, так и телескопическим погонажем. В качестве покрытия используются 3D пленки производства Германии. Рельефное покрытие изготавливается по уникальной технологии 3D-Embossing. В качестве декора может использоваться стекло Satinato или декоративный молдинг.
",35 мм,,,,,,,,,,,300,,,F4 ПО,,,,,,,Финиш-пленка Impress,Беленный дуб,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,Forma,ZADOOR,F4 ПО Белый,,/img/zadoor/forma/f4-по/F4 ПО Белый.jpg,,,,,"Полотна серии FORMA имеют каркасно-сотовую конструкцию, при этом создают полную имитацию сборного полотна.
Благодаря низкой стоимости, данная серия успешно зарекомендовала себя. Возможна комплектация как обычным, так и телескопическим погонажем. В качестве покрытия используются 3D пленки производства Германии. Рельефное покрытие изготавливается по уникальной технологии 3D-Embossing. В качестве декора может использоваться стекло Satinato или декоративный молдинг.
",35 мм,,,,,,,,,,,300,,,F4 ПО,,,,,,,Финиш-пленка Impress,Белый,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,Forma,ZADOOR,F4 ПО Грей,,/img/zadoor/forma/f4-по/F4 ПО Грей.jpg,,,,,"Полотна серии FORMA имеют каркасно-сотовую конструкцию, при этом создают полную имитацию сборного полотна.
Благодаря низкой стоимости, данная серия успешно зарекомендовала себя. Возможна комплектация как обычным, так и телескопическим погонажем. В качестве покрытия используются 3D пленки производства Германии. Рельефное покрытие изготавливается по уникальной технологии 3D-Embossing. В качестве декора может использоваться стекло Satinato или декоративный молдинг.
",35 мм,,,,,,,,,,,300,,,F4 ПО,,,,,,,Финиш-пленка Impress,Грей,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP51 Беленный дуб,,/img/zadoor/sp/sp51/SP51 Беленный дуб.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP51,,,,,,,ПВХ,Беленный дуб,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP51 Бренди,,/img/zadoor/sp/sp51/Sp 51 Бренди.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP51,,,,,,,ПВХ,Бренди,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP51 Нордик,,/img/zadoor/sp/sp51/Sp 51 Нордик.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP51,,,,,,,ПВХ,Нордик,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP51 Светло-серый,,/img/zadoor/sp/sp51/Sp 51 Светло-серый.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP51,,,,,,,ПВХ,Светло-серый,2000 мм,800 мм,нет,нет,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP57 Бетон светлый,,/img/zadoor/sp/sp57/Sp 57 бетон светлый.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP57,,,,,,,ПВХ,Бетон светлый,2000 мм,800 мм,да,Черный,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP57 Бетон тёмный,,/img/zadoor/sp/sp57/Sp 57 бетон тёный.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP57,,,,,,,ПВХ,Бетон тёмный,2000 мм,800 мм,да,Черный,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP57 Нордик,,/img/zadoor/sp/sp57/Sp 57 Нордик.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP57,,,,,,,ПВХ,Нордик,2000 мм,800 мм,да,Черный,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP57 Орех карамель,,,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP57,,,,,,,ПВХ,Орех карамель,2000 мм,800 мм,да,Черный,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP57 Сканди,,/img/zadoor/sp/sp57/Sp 57 Сканди.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP57,,,,,,,ПВХ,Сканди,2000 мм,800 мм,да,Черный,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP57 Тёмно-серый,,/img/zadoor/sp/sp57/Sp 57 Тёмно-серый.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP57,,,,,,,ПВХ,Тёмно-серый,2000 мм,800 мм,да,Черный,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP64 Бетон темный,,/img/zadoor/sp/sp64/SP 64 ПО Бетон Темный.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP64,,,,,,,ПВХ,Бетон темный,2000 мм,800 мм,нет,нет,да,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP64 Нордик,,/img/zadoor/sp/sp64/Sp 64 Нодик черная лакобель.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP64,,,,,,,ПВХ,Нордик,2000 мм,800 мм,нет,нет,да,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP64 Сканди,,/img/zadoor/sp/sp64/SP 64 Сканди сатинато.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP64,,,,,,,ПВХ,Сканди,2000 мм,800 мм,нет,нет,да,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP64 Тёмно-серый,,/img/zadoor/sp/sp64/Sp 64 Тёмн-серый.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP64,,,,,,,ПВХ,Тёмно-серый,2000 мм,800 мм,да,Черный,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP66 Бетон светлый,,/img/zadoor/sp/sp66/Sp 66 бетон-светлый.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP66,,,,,,,ПВХ,Бетон светлый,2000 мм,800 мм,да,Черный,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP66 Бетон тёмный,,/img/zadoor/sp/sp66/Sp 66 бетон тёмный.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP66,,,,,,,ПВХ,Бетон тёмный,2000 мм,800 мм,да,Черный,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP66 Нордик,,/img/zadoor/sp/sp66/Sp 66 нордик.jpg,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP66,,,,,,,ПВХ,Нордик,2000 мм,800 мм,да,Черный,нет,нет,Бюджет,
ZADOOR,SP,ZADOOR,SP66 Орех карамель,,,,,,,"Двери из серии SP имеют сборно-разборную конструкцию. Если один из элементов придет в негодность, то не нужно менять полотно полностью. Требуется заменить только царгу. Двери служат очень долго из-за отсутствия стыков в торцах элементов и швов на облицовочной.",35 мм,,,,,,,,,,,300,,,SP66,,,,,,,ПВХ,Орех карамель,2000 мм,800 мм,да,Черный,нет,нет,Бюджет,
